Held,Kategorie,Talent,Eigenschaft 1,Eigenschaft 2,Eigenschaft 3,Modifikator,Erfolg,TaP/ZfP,TaW/ZfW,Eigenschaftswert 1,Eigenschaftswert 2,Eigenschaftswert 3
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,7,12,14,14
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,4,9,13,12,12
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-7,1,7,7,12,14,14
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,6,14,15,15
Hanzo Shimada,Gesellschaft,Überreden,MU,IN,CH,0,0,-2,2,13,15,10
Walpurga Hausmännin,Körper,Selbstbeherrschung,MU,KO,KK,0,1,4,4,13,13,12
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-3,3,11,11,11
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-10,3,11,11,11
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,7,0,-11,3,11,11,11
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,-7,1,3,3,11,11,11
Bargaan Treuwall,Körper,Athletik,GE,KO,KK,0,1,2,5,14,15,15
Hanzo Shimada,Gesellschaft,Überreden,MU,IN,CH,0,0,-8,2,13,15,10
Hanzo Shimada,Gesellschaft,Überreden,MU,IN,CH,0,0,-6,2,11,13,10
Hanzo Shimada,Handwerk,Heilkunde Wunden,KL,CH,FF,0,0,-11,3,14,10,13
Hanzo Shimada,Körper,Athletik,GE,KO,KK,0,0,-2,2,13,10,10
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,9,9,13,12,11
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,9,9,13,12,11
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,3,9,13,12,11
Elanor Walham,Natur,Wildnisleben,IN,GE,KO,0,1,3,3,14,16,12
Walpurga Hausmännin,Natur,Wildnisleben,IN,GE,KO,0,0,-1,3,12,11,13
Walpurga Hausmännin,Natur,Wettervorhersage,KL,IN,IN,0,1,1,1,13,12,12
Hanzo Shimada,Natur,Wettervorhersage,KL,IN,IN,9,0,-25,3,14,15,15
Bargaan Treuwall,Natur,Orientierung,KL,IN,IN,-500,1,6,6,11,11,11
Bargaan Treuwall,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,2,9,13,12,11
Bargaan Treuwall,Handwerk,Heilkunde Wunden,KL,CH,FF,3,1,3,9,13,12,11
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-1,7,14,15,15
Walpurga Hausmännin,Körper,Selbstbeherrschung,MU,KO,KK,0,1,4,4,13,13,12
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,4,8,12,14,14
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,0,1,4,4,12,12,12
Elanor Walham,Körper,Tanzen,CH,GE,GE,0,0,-3,3,11,16,16
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,6,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,6,14,15,15
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,10,10,15,13,11
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,10,10,15,13,11
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,10,10,15,13,11
Walpurga Hausmännin,Wissen,Pflanzenkunde,KL,IN,FF,0,0,-4,5,13,12,11
Walpurga Hausmännin,Wissen,Pflanzenkunde,KL,IN,FF,0,0,-3,5,13,12,11
Bargaan Treuwall,Natur,Fesseln/Entfesseln,FF,GE,KK,0,1,1,8,12,14,15
Bargaan Treuwall,Natur,Fischen/Angeln,IN,FF,KK,0,1,1,5,11,12,15
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,6,10,15,13,11
Bargaan Treuwall,Natur,Fischen/Angeln,IN,FF,KK,0,1,3,3,11,12,15
Hanzo Shimada,Wissen,Tierkunde,MU,KL,IN,0,0,-2,5,13,14,15
Bargaan Treuwall,Wissen,Tierkunde,MU,KL,IN,0,0,-4,2,14,11,11
Bargaan Treuwall,Natur,Fischen/Angeln,IN,FF,KK,0,0,-1,3,11,12,15
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,10,10,15,13,11
Hanzo Shimada,Handwerk,Gerber/Kürschner,KL,FF,KO,0,1,1,8,14,13,11
Bargaan Treuwall,Natur,Fischen/Angeln,IN,FF,KK,0,1,2,3,11,12,15
Bargaan Treuwall,Natur,Fischen/Angeln,IN,FF,KK,0,0,-10,3,11,12,15
Hanzo Shimada,Wissen,Tierkunde,MU,KL,IN,0,0,-8,5,13,14,15
Bargaan Treuwall,Wissen,Tierkunde,MU,KL,IN,0,0,-2,2,14,11,11
Hanzo Shimada,Handwerk,Kochen,KL,IN,FF,-3,1,4,5,14,15,13
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,1,4,5,14,15,15
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,3,1,6,9,13,12,11
Walpurga Hausmännin,Wissen,Götter/Kulte,KL,KL,IN,0,0,-13,4,13,13,12
Bargaan Treuwall,Wissen,Götter/Kulte,KL,KL,IN,0,0,-1,3,11,11,11
Hanzo Shimada,Wissen,Götter/Kulte,KL,KL,IN,3,0,-2,2,14,14,15
Walpurga Hausmännin,Wissen,Götter/Kulte,KL,KL,IN,3,0,-1,4,13,13,12
Bargaan Treuwall,Wissen,Rechnen,KL,KL,IN,0,0,-5,2,11,11,11
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,10,10,15,13,11
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,5,10,15,13,11
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,7,10,15,13,11
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,4,10,15,13,11
Bargaan Treuwall,Natur,Fischen/Angeln,IN,FF,KK,0,0,-6,3,11,12,15
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-10,4,12,12,12
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-4,4,13,11,11
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,1,2,5,14,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-6,3,11,11,11
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,8,12,14,14
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,5,6,14,15,15
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,0,1,0,2,13,15,13
Hanzo Shimada,Wissen,Tierkunde,MU,KL,IN,6,0,-2,5,13,14,15
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,3,0,-4,7,12,11,13
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,0,0,-5,7,12,11,13
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,-3,1,1,7,12,11,13
Elanor Walham,Körper,Singen,IN,CH,CH,0,1,0,4,14,11,11
Elanor Walham,Körper,Tanzen,CH,GE,GE,0,0,-4,3,11,16,16
Elanor Walham,Körper,Singen,IN,CH,CH,-5,1,4,4,14,11,11
Elanor Walham,Körper,Tanzen,CH,GE,GE,0,1,2,3,11,16,16
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,3,6,14,15,15
Hanzo Shimada,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,0,-15,1,14,15,10
Hanzo Shimada,Gesellschaft,Überreden,MU,IN,CH,0,0,-10,2,13,15,10
Akira Masamune,Gesellschaft,Gassenwissen,KL,IN,CH,0,1,6,6,14,14,13
Akira Masamune,Wissen,Sagen/Legenden,KL,IN,CH,0,0,-1,3,14,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,4,0,-1,8,13,14,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,3,8,14,14,13
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,-4,0,-3,7,12,11,13
Hanzo Shimada,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,1,1,14,15,10
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,2,1,5,8,13,14,13
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,4,8,14,14,14
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,-4,1,1,7,12,11,13
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,8,8,13,11,14
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,8,14,14,14
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,8,14,14,14
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-3,3,11,11,11
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-1,8,13,11,14
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,-5,1,5,5,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,8,14,14,14
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-4,3,11,11,11
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,-7,1,7,7,12,11,13
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-6,3,11,11,11
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,5,6,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,4,8,14,14,14
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,8,8,12,14,14
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,6,8,13,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,2,8,13,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,1,8,13,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,0,-3,8,13,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,6,8,13,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,8,8,13,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,0,-4,8,13,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,8,8,13,14,13
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,5,7,12,11,13
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,7,7,12,11,13
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,-7,1,7,7,12,11,13
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,10,10,13,13,12
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,1,1,5,14,15,15
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-6,4,12,12,12
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-3,4,11,12,12
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,-4,1,9,9,13,12,11
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-1,3,11,11,11
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,8,14,14,14
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,9,13,12,12
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,4,8,12,14,14
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,7,14,15,15
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,8,8,13,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,0,-3,2,12,14,11
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,8,14,14,14
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,7,7,14,15,15
Hanzo Shimada,Gesellschaft,Überreden,MU,IN,CH,-5,1,2,2,13,15,10
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,8,14,14,14
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,2,9,13,12,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,7,14,15,15
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,8,8,12,14,14
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,3,11,11,11
Walpurga Hausmännin,Wissen,Sagen/Legenden,KL,IN,CH,0,1,7,7,13,12,12
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,8,14,14,14
Akira Masamune,Gaben,Gefahreninstinkt,KL,IN,IN,0,0,-5,4,14,14,14
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,8,8,13,14,13
Elanor Walham,Körper,Athletik,GE,KO,KK,0,1,0,8,16,12,12
Elanor Walham,Körper,Körperbeherrschung,MU,IN,GE,0,1,6,6,12,14,16
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-4,4,12,12,12
Elanor Walham,Körper,Athletik,GE,KO,KK,0,1,0,8,16,11,11
Elanor Walham,Körper,Körperbeherrschung,MU,IN,GE,0,1,6,6,12,14,16
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,8,14,14,14
Walpurga Hausmännin,Körper,Körperbeherrschung,MU,IN,GE,0,0,-4,4,13,12,11
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,0,1,2,2,13,15,13
Walpurga Hausmännin,Körper,Körperbeherrschung,MU,IN,GE,0,0,-13,4,13,12,11
Walpurga Hausmännin,Körper,Körperbeherrschung,MU,IN,GE,0,0,-7,4,13,12,11
Bargaan Treuwall,Wissen,Sagen/Legenden,KL,IN,CH,-4,0,-5,5,11,11,11
Bargaan Treuwall,Wissen,Sagen/Legenden,KL,IN,CH,-4,0,-2,5,11,11,11
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,2,1,3,5,14,15,15
Bargaan Treuwall,Körper,Athletik,GE,KO,KK,6,1,0,5,14,15,15
Walpurga Hausmännin,Körper,Körperbeherrschung,MU,IN,GE,0,0,-11,4,13,12,11
Elanor Walham,Körper,Akrobatik,MU,GE,KK,0,1,3,4,12,16,11
Hanzo Shimada,Körper,Athletik,GE,KO,KK,0,0,-4,2,13,12,12
Bargaan Treuwall,Gesellschaft,Etikette,KL,IN,CH,0,1,3,3,11,11,11
Akira Masamune,Gesellschaft,Etikette,KL,IN,CH,0,1,5,5,14,14,13
Walpurga Hausmännin,Gesellschaft,Etikette,KL,IN,CH,0,1,5,5,13,13,12
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,8,14,14,14
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-9,3,11,11,11
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,1,7,14,15,15
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,0,-2,8,12,14,14
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,4,9,13,13,13
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,3,8,12,14,14
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,6,12,13,12,11
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,-4,1,12,12,13,12,11
Walpurga Hausmännin,Handwerk,Heilkunde Wunden,KL,CH,FF,-7,1,12,12,13,12,11
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,7,14,15,15
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,1,7,8,13,15,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,8,14,14,14
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,3,11,11,11
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,2,9,13,13,13
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,8,12,14,14
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-2,1,8,8,12,14,14
Walpurga Hausmännin,Körper,Schleichen,MU,IN,GE,0,1,3,4,13,13,11
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,0,8,13,14,13
Elanor Walham,Gesellschaft,Überreden,MU,IN,CH,0,0,-16,2,12,14,11
Walpurga Hausmännin,Körper,Schleichen,MU,IN,GE,0,1,0,4,13,13,11
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,0,-4,9,13,13,13
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,9,13,13,13
Akira Masamune,Wissen,Rechtskunde,KL,KL,IN,0,0,-3,1,14,14,14
Hanzo Shimada,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,0,-6,1,14,15,10
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,1,5,8,13,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,7,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,7,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,0,7,14,15,13
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,1,8,8,13,15,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,8,8,13,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,8,8,13,14,13
Elanor Walham,Gesellschaft,Betören,IN,CH,CH,0,1,1,3,14,11,11
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,2,8,13,11,14
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,1,1,5,15,15,15
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,9,0,-20,4,12,11,11
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,1,5,8,13,15,13
Walpurga Hausmännin,Körper,Schleichen,MU,IN,GE,0,1,4,4,13,13,11
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,2,9,13,13,11
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,7,7,14,15,15
Akira Masamune,Wissen,Rechtskunde,KL,KL,IN,0,0,-1,1,14,14,14
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,7,1,1,8,13,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,8,8,13,14,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,8,8,14,14,13
Elanor Walham,Wissen,Götter/Kulte,KL,KL,IN,0,0,-2,0,12,12,14
Bargaan Treuwall,Wissen,Götter/Kulte,KL,KL,IN,0,0,-8,3,11,11,11
Akira Masamune,Wissen,Götter/Kulte,KL,KL,IN,0,1,0,3,14,14,14
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,7,9,13,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,3,9,13,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,0,-1,9,13,14,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,2,9,13,14,13
Hanzo Shimada,Gesellschaft,Menschenkenntnis,KL,IN,CH,3,0,-8,1,14,15,10
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,1,2,8,13,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,7,14,15,15
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,1,9,13,13,13
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,1,8,8,13,15,13
Walpurga Hausmännin,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,2,4,13,13,12
Walpurga Hausmännin,Gesellschaft,Etikette,KL,IN,CH,0,0,-1,5,13,13,12
Hanzo Shimada,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,0,-1,1,14,15,10
Hanzo Shimada,Gesellschaft,Überreden,MU,IN,CH,0,0,-2,5,13,15,10
Walpurga Hausmännin,Gesellschaft,Etikette,KL,IN,CH,0,1,0,5,13,13,12
Walpurga Hausmännin,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,4,4,13,13,12
Walpurga Hausmännin,Gesellschaft,Überreden,MU,IN,CH,0,1,2,2,13,13,12
Walpurga Hausmännin,Wissen,Magiekunde,KL,KL,IN,12,0,-13,6,13,13,13
Walpurga Hausmännin,Wissen,Magiekunde,KL,KL,IN,0,1,6,6,13,13,13
Walpurga Hausmännin,Wissen,Geschichtswissen,KL,KL,IN,0,1,3,3,13,13,13
Walpurga Hausmännin,Wissen,Sagen/Legenden,KL,IN,CH,0,1,0,7,13,13,12
Walpurga Hausmännin,Wissen,Götter/Kulte,KL,KL,IN,0,0,-8,4,13,13,13
Walpurga Hausmännin,Wissen,Geschichtswissen,KL,KL,IN,0,1,3,3,13,13,13
Walpurga Hausmännin,Wissen,Götter/Kulte,KL,KL,IN,0,1,4,4,13,13,13
Walpurga Hausmännin,Wissen,Magiekunde,KL,KL,IN,0,1,2,6,13,13,13
Walpurga Hausmännin,Wissen,Sagen/Legenden,KL,IN,CH,0,1,7,7,13,13,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,1,7,14,13,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,3,0,-2,7,14,13,15
Walpurga Hausmännin,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,0,-2,4,13,13,12
Walpurga Hausmännin,Gesellschaft,Überreden,MU,IN,CH,0,0,-7,2,13,13,12
Walpurga Hausmännin,Gesellschaft,Überreden,MU,IN,CH,0,1,2,2,13,13,12
Walpurga Hausmännin,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-3,4,13,13,12
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-9,4,13,12,12
Walpurga Hausmännin,Körper,Selbstbeherrschung,MU,KO,KK,3,0,-1,4,13,13,12
Walpurga Hausmännin,Körper,Selbstbeherrschung,MU,KO,KK,0,1,3,4,13,13,12
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,4,1,1,9,13,13,11
Walpurga Hausmännin,Körper,Selbstbeherrschung,MU,KO,KK,4,0,-7,4,13,13,12
Walpurga Hausmännin,Körper,Selbstbeherrschung,MU,KO,KK,4,0,-1,4,13,13,12
Walpurga Hausmännin,Gesellschaft,Überreden,MU,IN,CH,0,1,2,2,13,13,12
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,9,9,13,14,13
Elanor Walham,Gesellschaft,Überreden,MU,IN,CH,0,1,0,2,12,14,11
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,2,8,13,12,14
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,0,1,3,4,12,11,11
Hanzo Shimada,Körper,Athletik,GE,KO,KK,0,0,-2,2,13,12,12
Hanzo Shimada,Körper,Athletik,GE,KO,KK,0,0,-5,2,13,12,12
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,14,1,0,14,13,14,13
Akira Masamune,Wissen,Götter/Kulte,KL,KL,IN,0,0,-2,3,14,14,14
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,0,-3,8,14,14,14
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,20,0,-7,14,13,14,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,7,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,2,7,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,7,7,14,15,15
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,0,-1,8,13,15,13
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,9,0,-10,4,12,11,11
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,1,2,5,15,15,15
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-3,8,13,12,12
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,8,8,13,12,12
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,8,14,14,14
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,7,7,14,15,15
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,1,3,8,13,15,13
Walpurga Hausmännin,Körper,Schleichen,MU,IN,GE,0,1,2,4,13,13,11
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,1,7,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,2,9,13,13,11
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,0,-4,8,13,15,13
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,1,8,8,13,15,13
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,9,13,13,13
Walpurga Hausmännin,Körper,Schleichen,MU,IN,GE,0,0,-3,4,13,13,11
Walpurga Hausmännin,Körper,Schleichen,MU,IN,GE,0,1,4,4,13,13,11
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,5,9,13,13,13
Walpurga Hausmännin,Körper,Sinnesschärfe,KL,IN,IN,0,1,2,9,13,13,13
